Repetition,Scenario,Detector,Adaptation,Delay (Janelas),Latency (ms),Recovery Time
1,D4_D2eD3,DET1,A2,13,17.00115203857422,1
2,D4_D2eD3,DET1,A2,13,16.49641990661621,1
3,D4_D2eD3,DET1,A2,13,15.009164810180664,1
4,D4_D2eD3,DET1,A2,13,23.09584617614746,1
5,D4_D2eD3,DET1,A2,13,14.623880386352539,1
1,D4_D2eD3,DET2,A0,19,0.0,Não Recuperou
2,D4_D2eD3,DET2,A0,19,0.0,Não Recuperou
3,D4_D2eD3,DET2,A0,19,0.0,Não Recuperou
4,D4_D2eD3,DET2,A0,19,0.0,Não Recuperou
5,D4_D2eD3,DET2,A0,19,0.0,Não Recuperou
1,D4_D2eD3,DET2,A1,19,307.6190948486328,Não Recuperou
2,D4_D2eD3,DET2,A1,19,309.0050220489502,Não Recuperou
3,D4_D2eD3,DET2,A1,19,275.4037380218506,Não Recuperou
4,D4_D2eD3,DET2,A1,19,288.91777992248535,Não Recuperou
5,D4_D2eD3,DET2,A1,19,276.99756622314453,Não Recuperou
1,D4_D2eD3,DET2,A2,19,15.42973518371582,1
2,D4_D2eD3,DET2,A2,19,17.754316329956055,1
3,D4_D2eD3,DET2,A2,19,15.872478485107422,1
4,D4_D2eD3,DET2,A2,19,13.715982437133789,1
5,D4_D2eD3,DET2,A2,19,14.320850372314453,1
