Scenario,AccX_Mean,AccX_Std,AccX_Max,AccX_Min,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz
Anomalia,0.0411,0.2883,0.7247,-0.6396,0.2912,0.0597,-0.6387,2880.0
Anomalia,0.0206,0.2945,0.7247,-0.6396,0.2952,0.1,-0.7739,3360.0
Anomalia,0.0406,0.266,0.7247,-0.6396,0.2691,0.0564,-0.5142,3360.0
Anomalia,0.0507,0.2479,0.7247,-0.6396,0.253,0.0042,-0.3095,3360.0
Anomalia,0.0157,0.2241,0.557,-0.6845,0.2246,-0.2299,-0.141,3360.0
Anomalia,0.0317,0.242,0.5649,-0.6845,0.2441,-0.2714,-0.1182,3360.0
Anomalia,0.026,0.2458,0.5649,-0.6845,0.2471,-0.3842,-0.168,3120.0
Anomalia,0.012,0.2258,0.5649,-0.6845,0.2261,-0.418,0.3434,3120.0
Anomalia,0.0455,0.2103,0.5649,-0.5752,0.2151,-0.3522,0.2382,2880.0
Anomalia,0.0293,0.1784,0.4652,-0.5209,0.1807,-0.166,0.0339,480.0
Anomalia,0.0283,0.1538,0.4652,-0.3755,0.1564,0.1311,0.1718,480.0
Anomalia,0.0428,0.1711,0.4652,-0.5046,0.1764,-0.2615,0.5738,480.0
Anomalia,0.0171,0.1676,0.3713,-0.5046,0.1684,-0.3271,0.1186,960.0
Anomalia,0.0463,0.1546,0.3713,-0.5046,0.1614,-0.6173,1.0774,960.0
Anomalia,0.0422,0.1642,0.3713,-0.5046,0.1695,-0.6241,0.499,960.0
Anomalia,0.0273,0.1385,0.3359,-0.2795,0.1412,-0.1369,-0.5497,960.0
Anomalia,0.0321,0.1215,0.2852,-0.2793,0.1256,-0.2411,-0.3139,960.0
Anomalia,0.0135,0.1195,0.2583,-0.2793,0.1203,-0.2361,-0.6641,960.0
Anomalia,0.011,0.1135,0.3778,-0.2608,0.114,0.4517,0.03,960.0
Anomalia,0.0399,0.1156,0.3778,-0.2163,0.1223,0.4418,-0.2372,960.0
Anomalia,0.036,0.1245,0.3778,-0.2163,0.1296,0.3421,-0.4346,960.0
Anomalia,0.0397,0.1245,0.3778,-0.2524,0.1307,0.2533,-0.2618,960.0
Anomalia,0.0401,0.1229,0.324,-0.2524,0.1292,-0.0722,-0.4058,1200.0
Anomalia,0.0144,0.1409,0.4154,-0.3845,0.1416,0.0301,-0.0878,2640.0
Anomalia,0.0313,0.1737,0.5188,-0.5466,0.1765,-0.2485,0.5755,4080.0
Anomalia,0.034,0.1885,0.5188,-0.5466,0.1915,-0.3802,0.2075,2880.0
Anomalia,0.0343,0.1878,0.5188,-0.5466,0.1909,-0.3837,0.2275,2880.0
Anomalia,0.0518,0.1754,0.5188,-0.5466,0.1829,-0.5862,0.8015,4320.0
Anomalia,0.0236,0.1591,0.3231,-0.5113,0.1608,-0.6792,0.7491,4320.0
Anomalia,0.0277,0.1807,0.5624,-0.5113,0.1829,-0.0291,0.7261,4080.0
Anomalia,0.0199,0.185,0.5624,-0.5113,0.1861,0.0417,0.5098,4080.0
Anomalia,0.0181,0.1936,0.5624,-0.5113,0.1945,0.069,0.376,4080.0
Anomalia,0.0315,0.1813,0.5624,-0.4381,0.1841,0.2598,0.2943,4080.0
Anomalia,0.0253,0.1551,0.4569,-0.3726,0.1571,-0.0326,-0.062,4080.0
Anomalia,0.0356,0.1884,0.5737,-0.5305,0.1917,0.1431,0.6254,4080.0
Anomalia,0.0338,0.2243,0.7942,-0.5305,0.2268,0.3901,0.7763,1920.0
Anomalia,0.0186,0.2663,0.7942,-0.6836,0.267,0.0475,0.0654,1920.0
Anomalia,0.0386,0.2755,0.7942,-0.6836,0.2782,-0.0381,-0.1627,1920.0
Anomalia,0.0244,0.2613,0.7942,-0.6836,0.2624,0.0096,-0.0227,3360.0
Anomalia,0.0318,0.2329,0.529,-0.6836,0.235,-0.2498,0.0612,3360.0
Anomalia,0.0532,0.1877,0.5042,-0.3788,0.1951,0.2019,-0.4518,3360.0
Anomalia,0.0264,0.1686,0.4779,-0.3256,0.1707,0.31,-0.2163,3360.0
Anomalia,0.0312,0.1607,0.4779,-0.3999,0.1637,0.1443,0.0654,2640.0
Anomalia,0.0351,0.1494,0.3937,-0.3999,0.1535,-0.409,-0.3361,2640.0
Anomalia,0.0136,0.1469,0.3117,-0.3999,0.1475,-0.4665,-0.2471,2640.0
Anomalia,0.0453,0.1509,0.3909,-0.3999,0.1576,-0.5338,0.0775,480.0
Anomalia,0.0428,0.1436,0.3909,-0.3826,0.1498,-0.4249,0.101,480.0
Anomalia,0.0281,0.1573,0.5086,-0.3826,0.1598,-0.075,0.3318,3840.0
Anomalia,0.0432,0.1858,0.5309,-0.7277,0.1908,-0.5428,1.5958,2880.0
Anomalia,0.0061,0.2049,0.5309,-0.7277,0.205,-0.2198,0.408,3360.0
Anomalia,0.0293,0.215,0.5309,-0.7277,0.217,-0.2626,0.1372,3360.0
Anomalia,0.0345,0.2001,0.5309,-0.7277,0.2031,-0.4129,0.6787,3360.0
Anomalia,0.0313,0.1714,0.4281,-0.3972,0.1742,-0.0478,-0.288,3360.0
Anomalia,0.0445,0.1396,0.4256,-0.3029,0.1465,0.1981,-0.245,3360.0
Anomalia,0.0353,0.1244,0.3008,-0.3029,0.1294,0.0367,-0.4515,3360.0
Anomalia,0.0244,0.1224,0.3008,-0.3029,0.1248,0.0151,-0.3643,960.0
Anomalia,0.0475,0.1247,0.3722,-0.2472,0.1334,0.2521,-0.3599,960.0
Anomalia,0.0372,0.1251,0.3722,-0.2472,0.1305,0.352,-0.3569,960.0
Anomalia,0.0279,0.1325,0.3722,-0.3296,0.1354,-0.0454,-0.1797,960.0
Anomalia,0.0335,0.1742,0.3722,-0.6037,0.1774,-0.6446,0.8205,960.0
Anomalia,0.0139,0.2152,0.5743,-0.6037,0.2157,-0.3746,0.2533,960.0
Anomalia,0.0266,0.2255,0.5743,-0.6037,0.2271,-0.4235,0.0111,960.0
Anomalia,0.0353,0.2436,0.5743,-0.6037,0.2462,-0.3897,-0.3772,5280.0
Anomalia,0.0308,0.2292,0.5743,-0.5618,0.2313,-0.1593,-0.4702,3120.0
Anomalia,0.0413,0.1888,0.435,-0.4327,0.1933,-0.1925,-0.5746,480.0
Anomalia,0.0312,0.2065,0.557,-0.4327,0.2088,-0.1462,-0.517,2880.0
Anomalia,0.0374,0.2412,0.8526,-0.585,0.2441,0.1529,0.4458,2880.0
Anomalia,0.0275,0.2952,0.8526,-0.9085,0.2965,-0.2369,0.4661,5280.0
Anomalia,0.0283,0.3245,0.8526,-0.9085,0.3257,-0.17,-0.1957,5280.0
Anomalia,0.0242,0.3212,0.8526,-0.9085,0.3221,-0.1779,-0.1598,3360.0
Anomalia,0.0287,0.2866,0.5937,-0.9085,0.288,-0.4449,0.2775,3360.0
Anomalia,0.0391,0.2387,0.5693,-0.6194,0.2419,-0.2362,-0.493,3360.0
Anomalia,0.0361,0.2092,0.4711,-0.4375,0.2123,-0.1816,-0.9186,3360.0
Anomalia,0.0432,0.2045,0.4978,-0.4723,0.209,-0.1087,-0.7594,2640.0
Anomalia,0.0269,0.2151,0.5245,-0.4723,0.2168,0.0702,-0.7147,2880.0
Anomalia,0.0331,0.2108,0.5979,-0.4723,0.2134,0.3738,-0.0847,2880.0
Anomalia,0.0243,0.2012,0.5979,-0.4723,0.2027,0.3814,0.2096,2880.0
Anomalia,0.0284,0.178,0.5979,-0.3957,0.1803,0.5189,0.9234,2880.0
Anomalia,0.0313,0.1511,0.5979,-0.3759,0.1543,0.4939,1.7227,960.0
Anomalia,0.0296,0.1486,0.3605,-0.4149,0.1515,-0.3852,-0.2211,5280.0
Anomalia,0.0271,0.1496,0.4391,-0.4149,0.152,-0.2144,0.2033,720.0
Anomalia,0.0407,0.1551,0.4391,-0.4149,0.1604,-0.3108,-0.0102,720.0
Anomalia,0.0356,0.1479,0.4391,-0.4149,0.1521,-0.2196,0.308,960.0
Anomalia,0.0376,0.1157,0.4391,-0.3496,0.1216,0.0831,0.9877,960.0
Anomalia,0.0378,0.0922,0.2923,-0.1738,0.0997,0.1094,-0.3959,4080.0
Anomalia,0.0208,0.0842,0.2165,-0.1738,0.0867,-0.1188,-0.6726,960.0
Anomalia,0.0316,0.0911,0.2165,-0.1817,0.0964,-0.3097,-0.8049,480.0
Anomalia,0.0291,0.0931,0.2165,-0.1817,0.0975,-0.2122,-0.862,960.0
Anomalia,0.0342,0.0973,0.2418,-0.1834,0.1032,-0.1863,-0.7454,960.0
Anomalia,0.0372,0.0939,0.2418,-0.1834,0.101,-0.1537,-0.5788,2880.0
Anomalia,0.0194,0.1201,0.3766,-0.4085,0.1216,-0.4313,1.5911,4080.0
Anomalia,0.0329,0.1933,0.7108,-0.4149,0.1961,0.6654,1.7584,3120.0
Anomalia,0.0252,0.2389,0.7108,-0.6473,0.2402,0.1575,0.7278,2880.0
Anomalia,0.0315,0.2511,0.7108,-0.6473,0.2531,0.1224,0.1944,2880.0
Anomalia,0.0449,0.2485,0.7108,-0.6473,0.2525,0.0832,0.203,2880.0
Anomalia,0.0261,0.2211,0.6054,-0.6473,0.2226,-0.1829,0.2108,2880.0
Anomalia,0.0409,0.1747,0.4189,-0.3912,0.1795,0.0359,-0.431,4080.0
Anomalia,0.033,0.1709,0.3993,-0.3912,0.1741,0.0665,-0.5131,4080.0
Anomalia,0.026,0.1597,0.3993,-0.3912,0.1618,0.0247,-0.3452,960.0
Anomalia,0.0445,0.1537,0.3926,-0.3636,0.16,-0.2632,-0.4007,1200.0
Anomalia,0.0167,0.1549,0.3926,-0.3636,0.1558,0.0877,-0.5545,960.0
Anomalia,0.0339,0.1578,0.3743,-0.3849,0.1614,-0.3651,-0.3168,480.0
Anomalia,0.0348,0.1954,0.6874,-0.6081,0.1985,-0.0235,1.1816,4080.0
Anomalia,0.0203,0.2031,0.6874,-0.6081,0.2041,0.1043,1.3001,1680.0
Anomalia,0.0296,0.2434,0.6874,-0.6784,0.2452,-0.2838,0.6655,1920.0
Anomalia,0.026,0.2521,0.6874,-0.6784,0.2535,-0.0472,0.3872,3360.0
Anomalia,0.0207,0.2328,0.6,-0.6784,0.2337,-0.1328,0.312,3360.0
Anomalia,0.0465,0.2258,0.6,-0.6784,0.2305,-0.1573,0.53,3360.0
Anomalia,0.048,0.1898,0.5028,-0.3461,0.1957,0.436,-0.2823,3360.0
Anomalia,0.0385,0.1718,0.5028,-0.3461,0.176,0.4041,-0.0444,3360.0
Anomalia,0.0407,0.1851,0.5028,-0.548,0.1896,-0.0499,0.2124,2640.0
Anomalia,0.0158,0.1712,0.3991,-0.548,0.1719,-0.3436,0.0481,2640.0
Anomalia,0.0245,0.1666,0.3991,-0.548,0.1684,-0.6048,0.5626,2880.0
Anomalia,0.0314,0.1633,0.3991,-0.548,0.1663,-0.8196,0.8034,4080.0
Anomalia,0.0332,0.1317,0.2827,-0.3882,0.1358,-0.5673,0.2674,3120.0
Anomalia,0.0364,0.1261,0.2969,-0.3882,0.1312,-0.4192,0.4298,3840.0
Anomalia,0.0363,0.1273,0.3665,-0.3582,0.1324,-0.1886,0.0949,5280.0
Anomalia,0.025,0.1383,0.3665,-0.3582,0.1405,0.1584,-0.0456,5280.0
Anomalia,0.0392,0.1459,0.4784,-0.3582,0.1511,0.3733,0.5108,3360.0
Anomalia,0.032,0.1431,0.4784,-0.3582,0.1466,0.4835,0.6701,3360.0
Anomalia,0.0282,0.1362,0.4784,-0.2326,0.1391,0.6742,0.6496,480.0
Anomalia,0.0285,0.1411,0.4784,-0.3284,0.1439,0.3532,0.6383,960.0
Anomalia,0.0143,0.1586,0.3672,-0.3799,0.1593,-0.0714,-0.411,3360.0
Anomalia,0.0296,0.184,0.5126,-0.3799,0.1864,0.0331,-0.6121,3360.0
Anomalia,0.0401,0.1955,0.5126,-0.3799,0.1996,0.0015,-0.7873,3360.0
Anomalia,0.0377,0.178,0.5126,-0.3799,0.1819,0.1441,-0.3561,3360.0
Anomalia,0.0492,0.1822,0.5923,-0.285,0.1887,0.5068,0.0315,3360.0
Anomalia,0.0314,0.1785,0.5923,-0.3375,0.1812,0.5664,0.2236,3360.0
Anomalia,0.0368,0.2014,0.7224,-0.3375,0.2048,0.8067,0.8574,4080.0
Anomalia,0.0324,0.2181,0.7224,-0.3375,0.2205,0.6711,0.1749,4080.0
Anomalia,0.025,0.2044,0.7224,-0.3375,0.2059,0.7473,0.544,960.0
Anomalia,0.0328,0.1946,0.7224,-0.324,0.1974,0.7447,0.8162,3360.0
Anomalia,0.0161,0.1593,0.5051,-0.324,0.1601,0.3586,0.0083,960.0
Anomalia,0.0385,0.1795,0.5051,-0.3993,0.1836,0.2177,-0.1827,2880.0
Anomalia,0.0459,0.2048,0.5777,-0.3993,0.2098,0.2407,-0.3008,2880.0
Anomalia,0.0228,0.2737,0.6,-0.8288,0.2746,-0.1775,0.0076,1920.0
Anomalia,0.0465,0.3093,0.7581,-0.8288,0.3127,-0.1568,-0.3653,3360.0
Anomalia,0.0186,0.3099,0.7581,-0.8288,0.3105,-0.0559,-0.3662,3360.0
Anomalia,0.0195,0.2987,0.7581,-0.8288,0.2994,-0.1261,-0.1358,3360.0
Anomalia,0.0441,0.2527,0.7581,-0.6317,0.2565,0.0441,0.0349,3360.0
Anomalia,0.0285,0.2094,0.5361,-0.5238,0.2113,-0.0506,-0.0075,3360.0
Anomalia,0.0349,0.2032,0.5361,-0.4719,0.2062,0.2573,-0.1245,3360.0
Anomalia,0.0385,0.1868,0.519,-0.4719,0.1907,0.1208,0.1886,4080.0
Anomalia,0.0226,0.1615,0.5149,-0.4195,0.163,0.3646,0.44,2880.0
Anomalia,0.0357,0.1633,0.5149,-0.4195,0.1672,0.1593,0.1194,2880.0
Anomalia,0.0345,0.1341,0.4083,-0.2374,0.1385,0.2943,-0.4218,2880.0
Anomalia,0.0229,0.1477,0.4083,-0.4635,0.1495,-0.082,0.1874,480.0
Anomalia,0.0487,0.1792,0.4848,-0.4635,0.1857,-0.1332,-0.1253,480.0
Anomalia,0.0173,0.1932,0.4848,-0.4635,0.194,-0.0259,-0.4179,3360.0
Anomalia,0.0381,0.1985,0.4848,-0.4635,0.2021,-0.3403,-0.401,3360.0
Anomalia,0.0349,0.1839,0.4848,-0.4149,0.1871,-0.1951,-0.2533,3360.0
Anomalia,0.0136,0.165,0.3899,-0.383,0.1656,-0.2608,-0.3386,3360.0
Anomalia,0.0372,0.1436,0.3307,-0.3651,0.1484,-0.3415,-0.1084,3360.0
Anomalia,0.0254,0.1347,0.3307,-0.3346,0.1371,0.0088,-0.3483,3360.0
Anomalia,0.0293,0.1319,0.3307,-0.3346,0.1351,-0.1102,-0.1888,480.0
Anomalia,0.0501,0.1094,0.2969,-0.2103,0.1203,-0.1103,-0.3429,960.0
Anomalia,0.031,0.1024,0.2969,-0.2103,0.107,0.0034,-0.3698,960.0
Anomalia,0.0328,0.0898,0.2466,-0.2088,0.0956,-0.1718,-0.1112,960.0
Anomalia,0.0305,0.1096,0.315,-0.3148,0.1138,-0.1621,0.1633,480.0
Anomalia,0.0137,0.1759,0.6884,-0.6027,0.1764,0.4198,2.8944,3120.0
Anomalia,0.0418,0.2301,0.6884,-0.6027,0.2338,-0.1901,0.6038,2880.0
Anomalia,0.0202,0.2551,0.6884,-0.6027,0.2559,-0.0892,-0.2624,2880.0
Anomalia,0.0343,0.259,0.6884,-0.6027,0.2612,-0.1665,-0.3343,2880.0
Anomalia,0.038,0.2213,0.4834,-0.5964,0.2245,-0.422,-0.0616,2880.0
Anomalia,0.0073,0.1772,0.3887,-0.4575,0.1773,-0.1542,-0.3064,2880.0
Anomalia,0.0458,0.1531,0.3887,-0.329,0.1598,-0.0998,-0.5481,2880.0
Anomalia,0.0186,0.1474,0.3152,-0.329,0.1485,-0.1543,-0.8159,2880.0
Anomalia,0.0315,0.1504,0.3277,-0.329,0.1537,-0.2295,-0.7057,480.0
Anomalia,0.0506,0.1418,0.3355,-0.2551,0.1506,-0.1804,-0.72,3360.0
Anomalia,0.031,0.1361,0.3355,-0.2551,0.1396,-0.0637,-0.6392,3360.0
Anomalia,0.0414,0.1681,0.5057,-0.353,0.1732,0.241,-0.0749,3360.0
Anomalia,0.032,0.1979,0.5729,-0.528,0.2005,0.2966,0.3456,960.0
Anomalia,0.0071,0.2249,0.5729,-0.6434,0.225,-0.0713,0.5073,3120.0
Anomalia,0.0221,0.2301,0.5729,-0.6434,0.2311,-0.1498,0.3463,3120.0
Anomalia,0.0281,0.2156,0.5729,-0.6434,0.2174,-0.4177,0.7713,1200.0
Anomalia,0.0311,0.1874,0.3582,-0.6434,0.19,-0.7607,1.4,3360.0
Anomalia,0.056,0.1429,0.3509,-0.2923,0.1535,0.0422,-0.2854,4080.0
Anomalia,0.0309,0.1408,0.3457,-0.2923,0.1441,0.0437,-0.4137,2640.0
Anomalia,0.0324,0.1503,0.3855,-0.5927,0.1538,-0.5578,1.3652,2640.0
Anomalia,0.0222,0.1481,0.3855,-0.5927,0.1497,-0.4833,1.3559,4080.0
Anomalia,0.024,0.1481,0.3855,-0.5927,0.1501,-0.4579,1.3593,4080.0
Anomalia,0.0316,0.1419,0.3855,-0.5927,0.1453,-0.6004,2.1107,960.0
Anomalia,0.0335,0.0998,0.2998,-0.2109,0.1052,0.195,0.005,960.0
Anomalia,0.0273,0.0954,0.2662,-0.1988,0.0992,0.004,-0.2692,960.0
Anomalia,0.0289,0.1054,0.3206,-0.2065,0.1093,0.041,-0.1717,960.0
Anomalia,0.0361,0.1084,0.3206,-0.2065,0.1142,0.1741,-0.3523,960.0
Anomalia,0.0302,0.1142,0.3206,-0.2065,0.1182,0.1674,-0.5684,960.0
Anomalia,0.0479,0.1168,0.3206,-0.2218,0.1263,-0.0478,-0.5277,4080.0
Anomalia,0.0358,0.1154,0.3718,-0.2218,0.1208,0.2272,-0.1751,2880.0
Anomalia,0.0257,0.1437,0.3718,-0.4784,0.146,-0.3732,0.7603,960.0
Anomalia,0.0303,0.1622,0.3718,-0.4784,0.165,-0.2747,0.0524,2640.0
Anomalia,0.0193,0.1749,0.3718,-0.4909,0.1759,-0.3418,0.0003,960.0
Anomalia,0.0276,0.1904,0.3603,-0.5574,0.1924,-0.7034,0.3105,960.0
Anomalia,0.0312,0.1894,0.3603,-0.5574,0.1919,-0.6881,0.1204,960.0
Anomalia,0.0248,0.1845,0.3603,-0.5574,0.1862,-0.7561,0.2236,2880.0
Anomalia,0.035,0.1922,0.5726,-0.5574,0.1953,-0.57,0.1749,960.0
Anomalia,0.0273,0.2217,0.5937,-0.5637,0.2234,-0.3127,-0.2362,960.0
Anomalia,0.0328,0.2234,0.5937,-0.5637,0.2258,-0.2619,-0.1317,5040.0
Anomalia,0.0357,0.2339,0.5937,-0.5637,0.2366,-0.1806,-0.4019,3360.0
Anomalia,0.0227,0.2196,0.5937,-0.5637,0.2208,-0.0734,-0.1813,3360.0
Anomalia,0.0323,0.1925,0.4832,-0.4172,0.1952,-0.0834,-0.4953,3360.0
Anomalia,0.0247,0.237,0.6888,-0.833,0.2383,-0.3719,0.9284,3360.0
Anomalia,0.0424,0.2851,1.1543,-0.833,0.2883,0.4712,2.078,3360.0
Anomalia,0.026,0.3461,1.1543,-0.833,0.3471,-0.0192,0.5541,3360.0
Anomalia,0.0279,0.3595,1.1543,-0.833,0.3606,0.0957,0.2601,3360.0
Anomalia,0.0275,0.3349,1.1543,-0.789,0.336,0.2632,0.619,3360.0
Anomalia,0.0184,0.2925,0.7594,-0.789,0.2931,-0.2692,0.1898,3360.0
Anomalia,0.0379,0.2277,0.7594,-0.3757,0.2308,0.4068,-0.3121,3360.0
Anomalia,0.0332,0.2096,0.5192,-0.3797,0.2122,-0.0409,-0.8682,3360.0
Anomalia,0.0239,0.2081,0.4642,-0.5752,0.2094,-0.3602,-0.4199,1200.0
Anomalia,0.0282,0.2013,0.3697,-0.5752,0.2033,-0.5715,-0.3388,960.0
Anomalia,0.0313,0.2138,0.5382,-0.5752,0.2161,-0.359,-0.1847,2880.0
Anomalia,0.0291,0.2015,0.5382,-0.5752,0.2036,-0.2576,0.0986,2880.0
Anomalia,0.0463,0.1807,0.5382,-0.4686,0.1866,0.0477,-0.0782,2880.0
Anomalia,0.0232,0.1775,0.5382,-0.4686,0.179,0.2133,0.0435,960.0
Anomalia,0.0368,0.1733,0.3876,-0.461,0.1772,-0.2073,-0.4596,480.0
Anomalia,0.0324,0.1852,0.3876,-0.4717,0.188,-0.3814,-0.1656,720.0
Anomalia,0.0327,0.1826,0.3876,-0.4717,0.1855,-0.3754,0.0282,5040.0
Anomalia,0.0374,0.1785,0.3876,-0.4717,0.1824,-0.4548,0.2689,960.0
Anomalia,0.0209,0.1458,0.3761,-0.4717,0.1473,-0.4222,0.9553,960.0
Anomalia,0.0196,0.1195,0.3388,-0.2629,0.1211,-0.2074,-0.0843,960.0
Anomalia,0.0168,0.1109,0.2364,-0.2629,0.1122,-0.4616,-0.1574,960.0
Anomalia,0.0319,0.1106,0.3263,-0.2629,0.1151,-0.1376,0.3164,960.0
Anomalia,0.0312,0.1057,0.3263,-0.2629,0.1102,-0.1035,0.5071,960.0
Anomalia,0.0446,0.0938,0.3263,-0.1817,0.1039,0.297,0.7162,480.0
Anomalia,0.0374,0.1108,0.3263,-0.2985,0.117,-0.1629,0.4472,4080.0
Anomalia,0.02,0.1341,0.5286,-0.3557,0.1355,0.0274,1.2423,4080.0
Anomalia,0.0263,0.1822,0.5286,-0.3734,0.184,0.2693,0.347,4080.0
Anomalia,0.0247,0.2042,0.5286,-0.3734,0.2057,0.1717,-0.3194,2880.0
Anomalia,0.0309,0.2277,0.5286,-0.5201,0.2298,-0.0024,-0.5686,2880.0
Anomalia,0.0454,0.2207,0.5213,-0.5201,0.2253,-0.132,-0.4591,2880.0
Anomalia,0.0314,0.1917,0.4592,-0.5201,0.1943,-0.2181,-0.1278,2880.0
Anomalia,0.0302,0.1959,0.5318,-0.5201,0.1982,0.0499,0.102,2880.0
Anomalia,0.027,0.2388,0.7203,-0.75,0.2403,-0.0635,0.9719,5040.0
Anomalia,0.0137,0.2723,0.7203,-0.75,0.2726,-0.0269,0.3411,5040.0
Anomalia,0.0345,0.3088,0.7203,-0.75,0.3108,-0.0757,-0.3409,5280.0
Anomalia,0.0229,0.3085,0.7203,-0.75,0.3093,-0.0469,-0.371,3360.0
Anomalia,0.0353,0.2678,0.7085,-0.6653,0.2701,0.0168,-0.1678,3360.0
Anomalia,0.0401,0.242,0.6548,-0.5735,0.2453,0.0011,-0.2123,3360.0
Anomalia,0.0306,0.2129,0.5451,-0.4147,0.215,-0.1113,-0.6938,3360.0
Anomalia,0.0342,0.2145,0.5451,-0.5449,0.2172,-0.1358,-0.5113,3120.0
Anomalia,0.0313,0.2042,0.46,-0.5449,0.2066,-0.2605,-0.5009,3120.0
Anomalia,0.0289,0.1973,0.46,-0.5449,0.1994,-0.0934,-0.4574,2880.0
Anomalia,0.0367,0.183,0.46,-0.5449,0.1866,-0.1611,-0.1155,2880.0
Anomalia,0.0298,0.1524,0.369,-0.3861,0.1553,0.0293,-0.5595,4080.0
Anomalia,0.0225,0.1589,0.3588,-0.3861,0.1605,-0.0969,-0.3475,2640.0
Anomalia,0.0312,0.1616,0.4106,-0.4156,0.1645,-0.1045,-0.1574,3840.0
Anomalia,0.0229,0.1581,0.4106,-0.4156,0.1598,-0.2203,0.2972,5280.0
Anomalia,0.0371,0.1588,0.4106,-0.4156,0.163,-0.3656,0.3893,5280.0
Anomalia,0.0409,0.1417,0.4106,-0.4156,0.1474,-0.3383,0.8097,5280.0
Anomalia,0.0287,0.1117,0.3048,-0.396,0.1153,-0.3008,1.1993,5280.0
Anomalia,0.0286,0.0981,0.2854,-0.2197,0.1022,0.0023,-0.3118,960.0
Anomalia,0.0182,0.0985,0.2395,-0.2197,0.1002,-0.0502,-0.3779,960.0
Anomalia,0.0223,0.0926,0.2395,-0.2197,0.0952,-0.1296,-0.2362,960.0
