Scenario,AccX_Mean,AccX_Std,AccX_Max,AccX_Min,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz
Anomalia,0.0089,0.1816,0.3236,-0.3599,0.1818,-0.0786,-1.1564,2640.0
Anomalia,0.0058,0.1796,0.3236,-0.3599,0.1796,-0.0279,-1.2012,2880.0
Anomalia,0.0127,0.1711,0.3532,-0.3405,0.1716,-0.0014,-1.2108,2880.0
Anomalia,0.0147,0.1514,0.3532,-0.3405,0.1521,-0.0997,-0.8362,2880.0
Anomalia,0.0065,0.1496,0.3532,-0.3405,0.1497,-0.1273,-0.6828,2880.0
Anomalia,0.0119,0.1718,0.3797,-0.354,0.1722,-0.0733,-0.6626,2880.0
Anomalia,0.0146,0.197,0.5451,-0.4162,0.1975,0.1137,-0.2003,2880.0
Anomalia,0.0083,0.1956,0.5451,-0.4162,0.1958,0.2113,-0.1079,2880.0
Anomalia,0.0203,0.1981,0.5451,-0.4162,0.1991,0.1131,-0.2751,2880.0
Anomalia,0.0134,0.1825,0.5451,-0.4162,0.183,0.2085,0.0948,2880.0
Anomalia,0.0091,0.1467,0.2921,-0.2852,0.147,0.0172,-1.0272,2880.0
Anomalia,0.0084,0.1498,0.2921,-0.2852,0.15,0.0229,-1.165,2640.0
Anomalia,0.0049,0.1289,0.2921,-0.2547,0.129,0.0624,-0.8165,2640.0
Anomalia,0.0059,0.1224,0.3161,-0.2439,0.1225,0.2453,-0.4007,2640.0
Anomalia,0.0109,0.1154,0.3161,-0.2316,0.1159,0.3512,-0.2192,2400.0
Anomalia,0.0091,0.1298,0.3382,-0.3073,0.1301,0.2681,-0.1228,2400.0
Anomalia,0.0142,0.1914,0.4473,-0.4362,0.1919,0.043,-0.3282,2880.0
Anomalia,0.007,0.2055,0.4473,-0.4362,0.2056,0.0267,-0.5616,2640.0
Anomalia,0.0024,0.1961,0.4473,-0.4362,0.1961,0.0527,-0.2034,2640.0
Anomalia,0.0137,0.1936,0.4473,-0.4362,0.1941,-0.032,-0.123,2640.0
Anomalia,0.0092,0.1616,0.3941,-0.3978,0.1619,0.0149,-0.1054,2640.0
Anomalia,0.0181,0.1456,0.3868,-0.3369,0.1467,0.1025,-0.3422,2640.0
Anomalia,0.0155,0.1539,0.3868,-0.3369,0.1547,0.1216,-0.6974,2640.0
Anomalia,0.0029,0.1458,0.3868,-0.3369,0.1458,0.2253,-0.5283,2640.0
Anomalia,0.0026,0.1374,0.2785,-0.2656,0.1374,0.2011,-0.955,2640.0
Anomalia,0.0064,0.1953,0.4925,-0.5011,0.1954,0.056,0.0357,2640.0
Anomalia,0.0181,0.2414,0.5042,-0.5011,0.2421,0.0087,-0.6518,2640.0
Anomalia,0.0154,0.2597,0.5042,-0.5011,0.2602,-0.0232,-1.0552,2640.0
Anomalia,0.0139,0.2513,0.5042,-0.5011,0.2517,0.0097,-0.8377,2640.0
Anomalia,0.0089,0.2087,0.5042,-0.4669,0.2088,0.0923,-0.4168,2640.0
Anomalia,-0.0042,0.1672,0.3161,-0.3949,0.1672,-0.0097,-0.7699,2880.0
Anomalia,0.0039,0.1873,0.4243,-0.4229,0.1874,0.0887,-0.5357,2640.0
Anomalia,0.0158,0.225,0.4708,-0.4229,0.2255,0.0551,-1.0184,2640.0
Anomalia,0.0105,0.2321,0.4708,-0.4229,0.2323,0.0752,-1.1501,2640.0
Anomalia,0.0189,0.2584,0.4708,-0.4408,0.2591,0.0117,-1.2737,2880.0
Anomalia,0.0159,0.2546,0.4708,-0.4408,0.2551,0.0242,-1.2785,2880.0
Anomalia,0.001,0.2509,0.474,-0.4408,0.2509,0.0539,-1.1897,2880.0
Anomalia,0.0138,0.2475,0.474,-0.4408,0.2479,-0.0087,-1.0888,2880.0
Anomalia,0.0119,0.2121,0.474,-0.4356,0.2124,0.0066,-0.7962,2880.0
Anomalia,0.0117,0.1803,0.474,-0.4356,0.1806,0.0186,-0.2483,2880.0
Anomalia,0.0197,0.1405,0.3699,-0.2514,0.1418,0.2006,-0.6776,2880.0
Anomalia,-0.0,0.1282,0.3219,-0.2339,0.1282,0.2848,-0.8291,2880.0
Anomalia,-0.0014,0.1213,0.262,-0.2339,0.1213,0.1139,-0.8378,3120.0
Anomalia,0.0137,0.1771,0.4869,-0.4575,0.1776,0.3248,0.2766,2640.0
Anomalia,0.0045,0.2869,0.7258,-0.7304,0.287,0.0624,0.1952,2640.0
Anomalia,0.0189,0.3144,0.7258,-0.7304,0.315,-0.0582,-0.4049,2640.0
Anomalia,0.0194,0.312,0.7258,-0.7304,0.3126,-0.0535,-0.3364,2640.0
Anomalia,-0.0047,0.2929,0.7258,-0.7304,0.2929,0.0616,0.1084,2880.0
Anomalia,0.006,0.1938,0.6436,-0.5466,0.1939,0.0615,0.2955,2880.0
Anomalia,0.0012,0.1456,0.2969,-0.3098,0.1456,-0.0517,-0.8386,2640.0
Anomalia,0.0024,0.1564,0.3311,-0.3098,0.1564,0.034,-0.9689,2640.0
Anomalia,0.0242,0.1311,0.3311,-0.2303,0.1333,0.0387,-0.7384,2640.0
Anomalia,0.0124,0.1173,0.3311,-0.2729,0.1179,-0.0399,-0.0855,2400.0
Anomalia,0.0068,0.1353,0.3311,-0.3169,0.1355,-0.1599,-0.3969,3120.0
Anomalia,0.0015,0.1536,0.3751,-0.3169,0.1536,-0.0928,-0.4888,2640.0
Anomalia,-0.0038,0.1677,0.3751,-0.3169,0.1678,0.0654,-0.905,2640.0
Anomalia,0.0136,0.1653,0.3751,-0.3169,0.1659,-0.1153,-0.8947,2640.0
Anomalia,0.0154,0.1583,0.3751,-0.2956,0.1591,-0.1158,-0.7693,2640.0
Anomalia,0.0198,0.1486,0.2793,-0.3463,0.1499,-0.3367,-0.7563,2400.0
Anomalia,0.0093,0.1403,0.2752,-0.3463,0.1406,-0.2862,-0.6575,2640.0
Anomalia,-0.0046,0.153,0.2752,-0.3463,0.1531,-0.0868,-1.048,2640.0
Anomalia,0.0087,0.1475,0.2752,-0.3463,0.1478,-0.1441,-0.9316,2640.0
Anomalia,0.0053,0.1279,0.2643,-0.2727,0.128,-0.1526,-0.8594,2640.0
Anomalia,0.0131,0.1327,0.2397,-0.2727,0.1334,-0.211,-1.018,2880.0
Anomalia,0.0204,0.1584,0.3722,-0.3859,0.1597,-0.1749,-0.4827,2880.0
Anomalia,0.0064,0.1509,0.3722,-0.3859,0.1511,0.029,-0.1659,2640.0
Anomalia,0.0053,0.1702,0.3722,-0.3859,0.1703,0.0472,-0.4749,2880.0
Anomalia,0.0088,0.1877,0.3976,-0.3859,0.1879,0.0464,-0.668,2880.0
Anomalia,0.0055,0.1565,0.3976,-0.3759,0.1566,0.1228,-0.0788,2880.0
Anomalia,0.0137,0.1626,0.3976,-0.3759,0.1632,-0.0726,-0.3913,2880.0
Anomalia,0.0146,0.1511,0.3976,-0.338,0.1518,-0.1359,-0.3545,2640.0
Anomalia,0.0065,0.1163,0.2432,-0.3123,0.1165,-0.3863,-0.4719,2640.0
Anomalia,0.0156,0.147,0.3505,-0.3123,0.1478,-0.1504,-0.4085,2640.0
Anomalia,0.0072,0.1674,0.3505,-0.3371,0.1675,-0.0949,-0.7868,2640.0
Anomalia,0.0059,0.1784,0.3599,-0.3371,0.1785,0.0149,-0.9359,2640.0
Anomalia,0.0166,0.1841,0.3599,-0.3371,0.1848,-0.0814,-1.0918,2640.0
Anomalia,0.0036,0.159,0.3599,-0.3371,0.159,-0.021,-0.7607,2640.0
Anomalia,0.007,0.1448,0.3599,-0.3311,0.145,0.1048,-0.6808,2400.0
Anomalia,0.0147,0.1253,0.2829,-0.2209,0.1261,0.1258,-0.9507,2400.0
Anomalia,-0.0034,0.1102,0.2829,-0.2209,0.1102,0.3536,-0.2996,2400.0
Anomalia,0.0083,0.1177,0.2829,-0.2209,0.118,0.2211,-0.6449,2400.0
Anomalia,0.0157,0.1438,0.3244,-0.3467,0.1446,0.0142,-0.2633,2880.0
Anomalia,0.0099,0.1528,0.3244,-0.3467,0.1531,-0.0326,-0.5545,2640.0
Anomalia,0.0125,0.1549,0.3244,-0.3467,0.1554,-0.1041,-0.6379,2640.0
Anomalia,0.0099,0.1683,0.3244,-0.3467,0.1686,-0.0438,-0.8876,2640.0
Anomalia,0.0058,0.1938,0.4621,-0.4711,0.1939,-0.0626,-0.3985,2640.0
Anomalia,0.0149,0.2117,0.5015,-0.4711,0.2122,0.0828,-0.5422,2640.0
Anomalia,0.015,0.2128,0.5015,-0.4711,0.2133,0.0751,-0.5859,2640.0
Anomalia,0.0112,0.1936,0.5015,-0.4711,0.1939,0.1459,0.2236,2640.0
Anomalia,0.0042,0.1313,0.5015,-0.2714,0.1314,0.9044,2.6095,2640.0
Anomalia,-0.0027,0.0668,0.1773,-0.1875,0.0669,-0.3948,0.4101,2640.0
Anomalia,0.015,0.0743,0.2443,-0.1442,0.0758,0.616,0.6535,240.0
Anomalia,0.0107,0.0973,0.2443,-0.2218,0.0979,0.1127,-0.3902,2880.0
Anomalia,0.0219,0.1062,0.2443,-0.2218,0.1084,-0.0848,-0.7033,2880.0
Anomalia,0.0166,0.1474,0.3277,-0.4058,0.1483,-0.2881,-0.3188,2880.0
Anomalia,-0.0006,0.1484,0.3277,-0.4058,0.1484,-0.142,-0.4904,2880.0
Anomalia,0.0032,0.1489,0.3277,-0.4058,0.1489,-0.1857,-0.4363,2640.0
Anomalia,0.0046,0.1762,0.3624,-0.4058,0.1762,-0.0907,-0.8039,2640.0
Anomalia,0.0145,0.1863,0.4139,-0.3822,0.1869,-0.0351,-0.8313,2640.0
Anomalia,0.0181,0.1937,0.4139,-0.3822,0.1946,-0.0775,-0.9882,2640.0
Anomalia,0.0167,0.1926,0.4139,-0.3822,0.1934,-0.0495,-0.9852,2640.0
Anomalia,0.0095,0.1751,0.4139,-0.3822,0.1753,0.1546,-0.6569,2880.0
Anomalia,0.0053,0.1891,0.4986,-0.4517,0.1892,0.1264,-0.2284,2880.0
Anomalia,0.0057,0.1837,0.4986,-0.4517,0.1837,0.1672,-0.0379,2880.0
Anomalia,0.0165,0.1995,0.4986,-0.4517,0.2001,0.1335,-0.5215,2880.0
Anomalia,0.0146,0.2,0.4986,-0.4517,0.2005,0.0538,-0.6102,2880.0
Anomalia,0.0085,0.1481,0.3697,-0.2785,0.1483,0.2751,-0.7067,2880.0
Anomalia,0.013,0.1689,0.3697,-0.3313,0.1694,0.1498,-0.8779,2880.0
Anomalia,-0.0057,0.1525,0.3309,-0.3313,0.1526,0.1421,-0.7613,2880.0
Anomalia,0.0014,0.1682,0.392,-0.3455,0.1682,0.1727,-0.695,2880.0
Anomalia,0.0089,0.1868,0.3993,-0.3455,0.187,0.1397,-1.0458,2880.0
Anomalia,0.0139,0.1617,0.3993,-0.3455,0.1623,0.0885,-0.6032,2880.0
Anomalia,0.018,0.1516,0.3993,-0.3455,0.1526,0.1334,-0.2093,2880.0
Anomalia,0.0117,0.1283,0.3993,-0.2685,0.1288,0.1321,-0.1063,2400.0
Anomalia,0.005,0.1306,0.2873,-0.3179,0.1307,-0.2285,-0.3997,2640.0
Anomalia,0.0069,0.1974,0.5624,-0.4462,0.1975,0.2696,0.0145,2640.0
Anomalia,0.0135,0.2594,0.5624,-0.4894,0.2597,0.1046,-0.8211,2640.0
Anomalia,0.0185,0.2672,0.5624,-0.4894,0.2678,0.0608,-1.0062,2880.0
Anomalia,0.0287,0.2529,0.5624,-0.4894,0.2545,0.0052,-0.6611,2880.0
Anomalia,0.0033,0.223,0.5437,-0.4894,0.223,0.0487,-0.3556,2880.0
Anomalia,-0.0009,0.163,0.3436,-0.3419,0.163,-0.1004,-0.8895,2880.0
Anomalia,0.0045,0.1593,0.2996,-0.3419,0.1594,-0.1714,-0.846,2880.0
Anomalia,-0.0025,0.203,0.456,-0.3843,0.203,0.0949,-0.955,2880.0
Anomalia,0.0164,0.2017,0.456,-0.3843,0.2024,0.1157,-0.9243,2880.0
Anomalia,0.0227,0.1934,0.456,-0.3843,0.1948,0.1092,-0.7148,2640.0
Anomalia,0.009,0.2113,0.456,-0.3843,0.2115,0.1575,-0.908,2640.0
Anomalia,0.0051,0.2104,0.4514,-0.44,0.2104,0.1048,-0.7844,2640.0
Anomalia,0.0097,0.2019,0.4514,-0.44,0.2022,-0.0361,-0.6699,2640.0
Anomalia,0.0051,0.2195,0.4514,-0.44,0.2196,-0.0016,-0.9817,2640.0
Anomalia,0.0098,0.2273,0.4744,-0.44,0.2275,0.0072,-0.9223,2640.0
Anomalia,0.0133,0.2144,0.4744,-0.3943,0.2149,-0.0037,-0.9837,2640.0
Anomalia,0.0076,0.2136,0.4744,-0.3943,0.2138,0.0721,-0.9466,2880.0
Anomalia,0.011,0.1959,0.4744,-0.3943,0.1962,0.0483,-0.6813,2880.0
Anomalia,0.013,0.1755,0.3882,-0.3678,0.176,-0.0248,-0.8659,2640.0
Anomalia,0.0196,0.1634,0.382,-0.3555,0.1645,0.0808,-0.8208,2640.0
Anomalia,0.0124,0.188,0.3836,-0.3761,0.1884,-0.0094,-0.9549,2880.0
Anomalia,0.0094,0.2024,0.3836,-0.3761,0.2026,0.0157,-1.206,2880.0
Anomalia,0.0127,0.1988,0.3836,-0.3761,0.1992,0.0417,-1.1957,2880.0
Anomalia,-0.0037,0.2103,0.3836,-0.4074,0.2103,0.0055,-1.2343,2880.0
Anomalia,0.0075,0.2128,0.4022,-0.4074,0.2129,0.0301,-1.2202,2880.0
Anomalia,0.0056,0.2121,0.4022,-0.4074,0.2122,0.0232,-1.206,2880.0
Anomalia,0.013,0.2198,0.4214,-0.4074,0.2202,-0.0321,-1.1899,2880.0
Anomalia,0.0245,0.2097,0.4214,-0.3818,0.2111,-0.0106,-1.1966,2640.0
Anomalia,0.0115,0.203,0.4214,-0.3818,0.2034,-0.0209,-1.2,2640.0
Anomalia,0.0156,0.1899,0.4214,-0.3818,0.1906,-0.0337,-0.9628,2640.0
Anomalia,0.0022,0.1604,0.3294,-0.369,0.1604,-0.0164,-0.6548,2640.0
Anomalia,0.0033,0.1469,0.2967,-0.369,0.1469,-0.0909,-0.5192,2880.0
Anomalia,0.0187,0.1108,0.2741,-0.2291,0.1124,-0.0364,-0.6929,2640.0
Anomalia,0.0127,0.1034,0.2362,-0.2132,0.1042,0.0454,-0.85,2640.0
Anomalia,0.016,0.1017,0.2362,-0.2132,0.1029,0.0317,-0.8003,2640.0
Anomalia,0.0149,0.111,0.2616,-0.2355,0.112,-0.0612,-0.6561,2880.0
Anomalia,0.0054,0.1265,0.2616,-0.2382,0.1266,0.051,-0.8877,2880.0
Anomalia,0.0123,0.1388,0.2616,-0.2524,0.1394,-0.0011,-1.0407,2640.0
Anomalia,0.0105,0.1445,0.2958,-0.2524,0.1449,0.1295,-1.1072,2640.0
Anomalia,0.0081,0.1276,0.2958,-0.2524,0.1279,0.1523,-0.6481,2640.0
Anomalia,0.0073,0.1176,0.2958,-0.2524,0.1178,0.267,-0.4343,2880.0
Anomalia,0.0035,0.1211,0.2958,-0.335,0.1211,0.0183,-0.051,2640.0
Anomalia,0.0183,0.1839,0.5167,-0.4214,0.1848,0.2725,0.1502,2640.0
Anomalia,0.0127,0.2357,0.5167,-0.4606,0.2361,0.0912,-0.6945,2640.0
Anomalia,0.016,0.2403,0.5167,-0.4606,0.2408,0.0838,-0.7641,2640.0
Anomalia,0.0091,0.2504,0.5167,-0.4606,0.2505,0.0933,-0.9033,2640.0
Anomalia,-0.0079,0.2573,0.5036,-0.4708,0.2574,0.0756,-0.9198,2880.0
Anomalia,0.0096,0.2383,0.5019,-0.4708,0.2385,0.0201,-0.7547,2880.0
Anomalia,0.0173,0.2625,0.5019,-0.4708,0.2631,-0.0005,-1.1522,2640.0
Anomalia,0.0196,0.2535,0.5019,-0.4708,0.2542,0.0366,-1.0798,2640.0
Anomalia,0.0245,0.2062,0.4863,-0.4022,0.2076,0.1267,-0.8217,2640.0
Anomalia,0.0104,0.1828,0.4665,-0.3813,0.1831,0.2088,-0.6682,2880.0
Anomalia,-0.0008,0.1294,0.2656,-0.2606,0.1294,-0.0699,-0.8706,2880.0
Anomalia,0.0063,0.1553,0.4892,-0.4053,0.1554,0.0957,0.5616,2880.0
Anomalia,0.0019,0.1776,0.4892,-0.4053,0.1776,0.1788,-0.0987,2880.0
Anomalia,0.0124,0.1922,0.4892,-0.4053,0.1926,0.1036,-0.498,2640.0
Anomalia,0.0174,0.1968,0.4892,-0.4053,0.1976,0.0367,-0.6948,2640.0
Anomalia,0.0108,0.1609,0.4393,-0.3352,0.1613,0.1573,-0.4307,2640.0
Anomalia,0.0128,0.1233,0.3653,-0.3352,0.124,0.2146,0.4718,2640.0
Anomalia,0.0065,0.1013,0.2297,-0.2272,0.1016,0.0355,-0.6047,2400.0
Anomalia,-0.0009,0.1173,0.3075,-0.2357,0.1173,0.1126,-0.408,2880.0
Anomalia,0.0136,0.145,0.3315,-0.2416,0.1457,0.1483,-0.8343,2640.0
