Scenario,AccX_Mean,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz
Anomalia,-0.0069,0.2714,0.2496,1.3805,2880.0
Anomalia,0.0296,0.343,0.4262,0.3548,2880.0
Anomalia,-0.0071,0.3615,0.5579,0.0025,2640.0
Anomalia,0.024,0.3615,0.4202,-0.1497,2640.0
Anomalia,0.0197,0.2906,0.6877,0.9355,2640.0
Anomalia,-0.0001,0.2075,-0.1794,-0.4683,2640.0
Anomalia,0.0193,0.1956,0.0087,-0.7659,2640.0
Anomalia,-0.0008,0.1701,-0.1462,-0.6892,2640.0
Anomalia,0.0067,0.163,-0.0059,-0.8045,2640.0
Anomalia,0.0262,0.1633,-0.0735,-0.7779,2640.0
Anomalia,0.004,0.1442,-0.0589,-0.6922,2640.0
Anomalia,0.0162,0.1397,-0.0954,-0.4921,2640.0
Anomalia,0.0284,0.131,-0.3425,-0.2343,2640.0
Anomalia,-0.0253,0.134,-0.3552,-0.6498,2640.0
Anomalia,0.0254,0.1443,-0.2341,-0.3458,2640.0
Anomalia,0.0105,0.1521,-0.1669,-0.7566,2640.0
Anomalia,0.001,0.1451,-0.0366,-0.4516,2640.0
Anomalia,0.0413,0.1312,-0.033,-0.3227,2640.0
Anomalia,-0.0102,0.1104,-0.136,-0.6281,2640.0
Anomalia,0.0095,0.1091,0.1924,-0.2684,2880.0
Anomalia,0.0091,0.1113,0.1899,-0.4298,2880.0
Anomalia,-0.0021,0.0983,0.3318,0.4115,2640.0
Anomalia,0.0379,0.0923,0.3731,0.2079,2640.0
Anomalia,0.0121,0.0773,-0.1053,-0.7209,240.0
Anomalia,0.0093,0.0776,-0.0854,-0.6969,480.0
Anomalia,0.0168,0.0827,-0.1718,-0.8287,480.0
Anomalia,-0.0084,0.08,0.0129,-0.8792,480.0
Anomalia,0.0153,0.087,0.256,-0.2967,2640.0
Anomalia,0.0166,0.0937,0.1905,-0.4617,2640.0
Anomalia,0.0081,0.0955,0.1649,-0.4138,2640.0
Anomalia,0.0279,0.0949,-0.0368,-0.2635,2640.0
Anomalia,0.0027,0.0853,0.0186,-0.4582,2640.0
Anomalia,0.0016,0.0766,-0.1259,-0.4748,2400.0
Anomalia,0.0208,0.0824,0.1036,-0.675,2880.0
Anomalia,-0.0065,0.0776,0.6024,-0.2965,240.0
Anomalia,0.0227,0.0806,0.1044,-0.9205,480.0
Anomalia,0.0224,0.0842,0.0219,-0.9545,480.0
Anomalia,-0.0054,0.0778,0.0287,-0.9434,240.0
Anomalia,0.0227,0.0875,0.0313,0.2086,2640.0
Anomalia,0.0053,0.0962,0.1158,-0.159,2640.0
Anomalia,0.0009,0.1035,-0.0221,-0.3207,2640.0
Anomalia,0.0345,0.1109,-0.4565,-0.1572,2640.0
Anomalia,0.0056,0.103,-0.1264,-0.7773,2640.0
Anomalia,0.0062,0.0932,-0.0081,-0.5696,480.0
Anomalia,0.0264,0.1013,0.3644,-0.7539,240.0
Anomalia,-0.0133,0.1639,-0.3582,0.6806,3120.0
Anomalia,0.0111,0.2251,0.3508,0.8092,3120.0
Anomalia,0.0227,0.2739,0.4324,-0.0566,3120.0
Anomalia,0.0051,0.301,0.4391,-0.6031,3120.0
Anomalia,0.0216,0.2768,0.5261,-0.1362,2640.0
Anomalia,0.0038,0.2599,0.3004,-0.3249,2640.0
Anomalia,-0.0001,0.22,-0.1096,-0.6612,2640.0
Anomalia,0.012,0.235,0.1225,-0.2934,2640.0
Anomalia,0.0029,0.2485,0.0893,-0.5193,2640.0
Anomalia,0.0197,0.2205,0.1081,0.2705,2880.0
Anomalia,0.0168,0.2117,0.097,0.5932,2880.0
Anomalia,-0.0065,0.1469,-0.5661,0.7445,2880.0
Anomalia,0.0293,0.1294,0.2115,-0.5596,480.0
Anomalia,0.0045,0.1288,0.4779,-0.4033,480.0
Anomalia,0.0166,0.1364,0.4833,-0.5576,480.0
Anomalia,0.0285,0.1329,0.4781,-0.6808,480.0
Anomalia,-0.0076,0.1196,0.372,-0.4185,2880.0
Anomalia,0.025,0.121,-0.0711,-0.5688,2880.0
Anomalia,0.0047,0.1016,-0.2461,-0.617,2880.0
Anomalia,0.0088,0.0894,-0.3574,0.1245,3120.0
Anomalia,0.0236,0.0652,0.619,0.1624,2880.0
Anomalia,0.003,0.0442,0.1055,-0.6784,960.0
Anomalia,0.0092,0.0567,0.1389,-0.1329,2640.0
Anomalia,0.0107,0.0778,0.1503,0.0106,2880.0
Anomalia,0.0018,0.0837,0.2322,-0.2499,2880.0
Anomalia,0.0139,0.0868,-0.0997,-0.4669,2880.0
Anomalia,0.0189,0.0811,-0.3045,0.0976,2880.0
Anomalia,0.0014,0.0761,-0.4022,-0.3779,240.0
Anomalia,0.0192,0.0941,0.1692,-0.123,2880.0
Anomalia,0.0054,0.0953,0.364,-0.083,480.0
Anomalia,-0.0033,0.0978,0.5465,-0.0933,2640.0
Anomalia,0.0309,0.0966,0.1545,-0.2717,2640.0
Anomalia,0.0008,0.0838,-0.0507,-0.6199,240.0
Anomalia,0.021,0.0952,0.0681,-0.5778,480.0
Anomalia,0.0172,0.0974,0.0646,-0.6702,480.0
Anomalia,-0.0072,0.0902,0.4803,-0.1092,2880.0
Anomalia,0.0255,0.0903,-0.0007,-0.483,2640.0
Anomalia,0.0045,0.076,-0.1743,-0.7779,2640.0
Anomalia,0.0171,0.0727,-0.3111,-0.6615,480.0
Anomalia,0.0276,0.0845,-0.169,-0.2777,2400.0
Anomalia,-0.0107,0.109,-0.5629,0.3826,2880.0
Anomalia,0.0151,0.1278,-0.2912,0.1607,2640.0
Anomalia,0.0071,0.1286,-0.1109,0.0048,2640.0
Anomalia,0.0063,0.1192,-0.2375,0.6869,3120.0
Anomalia,0.0389,0.0905,0.853,1.5414,3120.0
Anomalia,-0.0015,0.0711,-0.228,-0.7727,240.0
Anomalia,0.0143,0.0812,0.0262,-0.2063,480.0
Anomalia,0.0055,0.0887,0.2227,-0.6039,480.0
Anomalia,-0.0009,0.0919,0.4045,-0.7254,2880.0
Anomalia,0.032,0.0887,0.0562,-0.6774,2880.0
Anomalia,0.0144,0.0905,-0.2004,-0.9074,2880.0
Anomalia,0.0172,0.0863,-0.3075,-0.7587,2880.0
Anomalia,0.0143,0.0834,-0.2731,-0.6587,3120.0
Anomalia,-0.0036,0.0847,0.0931,-0.7862,3120.0
Anomalia,0.0066,0.0901,0.364,0.0621,3360.0
Anomalia,0.0093,0.1122,0.2638,-0.1338,2880.0
Anomalia,0.0057,0.1261,0.153,-0.6358,2880.0
Anomalia,0.0285,0.1294,-0.2409,-0.6134,2880.0
Anomalia,0.0069,0.1202,0.0234,-0.6385,2640.0
Anomalia,0.004,0.0994,-0.0725,-0.5929,2880.0
Anomalia,0.0151,0.082,-0.0584,-0.6856,240.0
Anomalia,-0.0063,0.0932,-0.3444,-0.1541,3120.0
Anomalia,0.0215,0.1018,-0.4686,0.3582,3120.0
Anomalia,0.0267,0.1155,-0.473,-0.3203,2880.0
Anomalia,0.0064,0.1212,-0.1731,-0.9059,2640.0
Anomalia,0.02,0.1186,0.1272,-0.6112,2640.0
Anomalia,0.0028,0.1093,0.4229,-0.2601,2640.0
Anomalia,0.0013,0.0927,0.5802,1.0041,480.0
Anomalia,0.027,0.0925,0.4425,0.5939,480.0
Anomalia,0.0068,0.0756,0.0896,-0.521,480.0
Anomalia,0.0102,0.0726,-0.0388,-0.5239,2400.0
Anomalia,0.0151,0.0858,0.16,-0.6928,2880.0
Anomalia,-0.0061,0.0789,0.5231,0.033,2640.0
Anomalia,0.0245,0.0895,0.2248,-0.6211,480.0
Anomalia,0.0168,0.0898,0.2871,-0.655,480.0
Anomalia,0.0092,0.0804,0.2632,-0.3629,480.0
Anomalia,0.024,0.0783,0.1813,-0.3399,480.0
Anomalia,-0.0073,0.0656,0.0461,-0.3149,240.0
Anomalia,0.011,0.0703,0.2374,0.3458,480.0
Anomalia,0.017,0.0913,0.3354,0.0815,2640.0
Anomalia,0.0043,0.0925,0.5199,0.0587,2640.0
Anomalia,0.0265,0.0941,0.1593,-0.1945,2640.0
Anomalia,0.0075,0.0906,0.3054,-0.0464,2880.0
Anomalia,0.0094,0.0682,-0.1973,-0.314,480.0
Anomalia,0.0211,0.0677,-0.3222,-0.067,2880.0
Anomalia,-0.0033,0.0708,-0.4344,-0.0792,240.0
Anomalia,0.0171,0.086,0.0827,-0.0257,3120.0
Anomalia,0.0111,0.1148,-0.0795,-0.2557,3120.0
Anomalia,-0.001,0.1587,-0.0475,-0.5925,2880.0
Anomalia,0.0272,0.1661,-0.3884,-0.6553,2880.0
Anomalia,0.0047,0.1647,-0.1067,-0.8228,2880.0
Anomalia,0.0076,0.1478,-0.1391,-0.2406,2640.0
Anomalia,0.0199,0.0983,0.1184,-0.4323,2640.0
Anomalia,-0.0022,0.0843,0.0987,-0.1912,3120.0
Anomalia,0.0121,0.082,-0.001,-0.6944,2640.0
Anomalia,0.0151,0.0919,-0.2871,-0.554,480.0
Anomalia,-0.0031,0.0963,-0.1122,-0.7205,480.0
Anomalia,0.0217,0.1007,-0.3202,-0.4648,480.0
Anomalia,0.0162,0.1031,-0.3095,-0.3304,2640.0
Anomalia,-0.0002,0.1727,-0.2105,1.1304,2880.0
Anomalia,0.0243,0.187,-0.3206,0.5383,2880.0
Anomalia,-0.0039,0.1924,-0.0439,0.1161,2880.0
Anomalia,0.0061,0.1911,-0.1496,0.2279,2880.0
Anomalia,0.0274,0.1267,-0.1331,0.3446,2640.0
Anomalia,0.0083,0.103,-0.6464,0.5094,3360.0
Anomalia,-0.0118,0.3259,-0.9788,3.7161,2880.0
Anomalia,0.0148,0.5038,0.2042,0.7016,3120.0
Anomalia,-0.0234,0.5587,0.2364,-0.2512,2880.0
Anomalia,0.0183,0.5945,0.0816,-0.7598,2880.0
Anomalia,0.0388,0.5078,0.3405,-0.0302,2880.0
Anomalia,0.0096,0.3545,-0.09,-0.2079,2880.0
Anomalia,0.0466,0.2629,0.4941,0.9055,2880.0
Anomalia,-0.027,0.3011,-0.6271,0.9544,3120.0
Anomalia,0.0329,0.3741,-0.24,0.1549,3120.0
Anomalia,-0.0048,0.3705,-0.0237,0.1567,2880.0
Anomalia,0.0074,0.3729,-0.1092,0.0919,2880.0
Anomalia,0.0452,0.2755,0.6195,1.5974,2880.0
Anomalia,-0.012,0.1515,-0.5499,0.9543,480.0
Anomalia,0.0291,0.128,0.2935,0.0399,3120.0
Anomalia,0.0016,0.276,-0.0199,3.4841,2640.0
Anomalia,0.0118,0.3572,-0.1652,0.9324,2880.0
Anomalia,0.0077,0.3796,-0.158,0.1846,3120.0
Anomalia,0.0206,0.3765,-0.257,0.3303,3120.0
Anomalia,0.0045,0.289,-0.2787,1.2101,3120.0
Anomalia,0.0077,0.1966,-0.4003,-0.4313,3120.0
Anomalia,0.004,0.1823,-0.35,-0.5769,2640.0
Anomalia,-0.0078,0.1911,-0.1399,-0.8438,2640.0
Anomalia,0.0168,0.2014,-0.2342,-0.8459,2880.0
Anomalia,0.0074,0.2324,-0.0301,-0.6616,2880.0
Anomalia,0.0329,0.22,-0.1312,-0.4078,3120.0
Anomalia,0.0213,0.2038,-0.0723,0.0842,3120.0
Anomalia,0.001,0.1882,0.1364,0.5407,3120.0
Anomalia,0.0167,0.1377,-0.1126,-0.7021,3120.0
Anomalia,0.0054,0.1365,-0.0714,-0.7878,3120.0
Anomalia,0.0124,0.1403,-0.1324,-0.7665,3120.0
Anomalia,0.033,0.134,-0.071,-0.6668,3120.0
Anomalia,0.0016,0.1386,0.0067,-0.9745,2880.0
Anomalia,0.0121,0.121,-0.153,-0.4868,2640.0
Anomalia,0.0123,0.183,-0.081,1.4279,2880.0
Anomalia,0.0034,0.2346,-0.2676,0.1748,2880.0
Anomalia,0.0349,0.2394,-0.4729,0.3343,2880.0
Anomalia,0.0039,0.2415,-0.1119,-0.0323,2880.0
Anomalia,0.0049,0.2139,-0.1376,0.0288,2880.0
Anomalia,0.0197,0.1763,0.4305,-0.7742,2880.0
Anomalia,-0.0096,0.1573,0.702,-0.0604,2880.0
Anomalia,0.0339,0.1632,0.1505,-0.5884,2880.0
Anomalia,0.0155,0.1336,0.6061,0.0116,2640.0
Anomalia,0.0112,0.0902,0.5106,0.2158,480.0
Anomalia,0.0281,0.085,0.5367,0.5525,480.0
Anomalia,-0.0003,0.0611,-0.4254,-0.5992,240.0
Anomalia,0.0163,0.0598,-0.5094,-0.4885,240.0
Anomalia,0.0123,0.0647,-0.2675,-0.7249,480.0
Anomalia,0.0037,0.0651,-0.0475,-0.8386,480.0
Anomalia,0.0189,0.0671,-0.0047,-0.7603,480.0
Anomalia,0.0155,0.0741,0.1821,-0.6241,2880.0
Anomalia,0.0073,0.082,0.0888,-0.7254,2640.0
Anomalia,0.0201,0.0863,-0.1018,-0.7544,2640.0
Anomalia,0.0066,0.0877,-0.0159,-0.9014,2640.0
